,Unnamed: 0,price,Address,Total_sqft,latitude,longitude,BHK,Bathrooms
46,963,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1685.0,28.6244715,77.4383996,3.0,2.0
47,1150,5400000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1600.0,28.629808,77.440609,3.0,3.0
48,1303,5000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1295.0,28.6292391988593,77.4402883141157,2.0,2.0
49,2945,4500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1425.0,28.6292391988593,77.4402883141157,2.0,2.0
50,3931,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1680.0,28.624318,77.4352651129085,3.0,3.0
51,5969,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1635.0,28.6244715,77.4383996,3.0,2.0
52,6149,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1700.0,28.6292391988593,77.4402883141157,3.0,2.0
53,809,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1254.0,28.6297895,77.4338883,2.0,2.0
54,866,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1105.0,28.630654,77.436644,2.0,2.0
55,1028,5800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1730.0,28.631927,77.437442,3.0,3.0
56,1236,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1235.0,28.624938757423,77.4344565377367,2.0,2.0
57,1579,5400000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1700.0,28.624938757423,77.4344565377367,3.0,3.0
58,1690,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,28.626162,77.437698,2.0,2.0
59,2006,4000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1150.0,28.629789352416992,77.43389129638672,2.0,2.0
60,2035,4670000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1320.0,28.629789352416992,77.43389129638672,3.0,2.0
61,2132,4600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1400.0,28.6297895,77.4338883,2.0,2.0
62,2425,3300000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1075.0,28.6297895,77.4338883,2.0,2.0
63,2429,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,28.631927,77.437442,3.0,3.0
64,2435,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,28.631927,77.437442,3.0,3.0
65,2469,4520000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1450.0,28.624014,77.437315,2.0,2.0
66,2661,6000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1750.0,28.630654,77.436644,3.0,3.0
67,2669,3450000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1075.0,28.6297895,77.4338883,2.0,2.0
68,2725,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,28.631927,77.437442,3.0,3.0
69,3344,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1610.0,28.6244715,77.4383996,3.0,2.0
70,3527,5500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1725.0,28.6248930220817,77.436443844143,3.0,3.0
